id,filename,status,length,error
DOC_001,"実習の報告書　３年　 後期　　第１回　９月２２日.docx",success,2496,""
DOC_002,"実習の報告書　３年　 後期　　第１０回　１２月１日.docx",success,3214,""
DOC_003,"実習の報告書　３年　 後期　　第１１回　１２月８日.docx",success,2664,""
DOC_004,"実習の報告書　３年　 後期　　第１２回　１２月１５日.docx",success,1819,""
DOC_005,"実習の報告書　３年　 後期　　第１３回　１２月２２日.docx",success,1760,""
DOC_006,"実習の報告書　３年　 後期　　第２回　９月２９日.docx",success,2594,""
DOC_007,"実習の報告書　３年　 後期　　第３回　１０月６日.docx",success,2646,""
DOC_008,"実習の報告書　３年　 後期　　第４回　１０月１４日.docx",success,2426,""
DOC_009,"実習の報告書　３年　 後期　　第５回　１０月２０日.docx",success,2546,""
DOC_010,"実習の報告書　３年　 後期　　第７回　１１月１０日.docx",success,2491,""
